sample	chloramphenicol	linezolid	tetracycline	fosfomycin	quinupristin+dalfopristin	teicoplanin	erythromycin	gentamicin	vancomycin	ampicillin	tigecycline	ciprofloxacin
10733_7#66	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_7#67	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_7#69	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_7#70	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_7#71	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_7#73	No resistance	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	No resistance
10733_7#75	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_7#76	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_7#77	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_7#78	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_7#80	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_7#81	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_7#82	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_7#86	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_7#87	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_7#88	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_8#1	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_8#5	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_8#6	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_8#7	No resistance	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_8#9	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_8#10	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_8#12	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_8#13	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_8#15	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_8#18	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_8#19	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_8#20	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_8#21	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_8#22	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_8#23	No resistance	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_8#24	No resistance	No resistance	Resistant	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_8#25	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_8#26	No resistance	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_8#27	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_8#30	No resistance	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	No resistance	Resistant	No resistance	Resistant
10733_8#32	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_8#33	No resistance	No resistance	Resistant	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
10733_8#34	No resistance	No resistance	No resistance	No resistance	No resistance	Resistant	Resistant	Resistant	Resistant	Resistant	No resistance	Resistant
